Pos,2024,Title,Director,Year,Country,Mins,Seen
520,504,Twin Peaks: The Return [TV],"Lynch, David",2017,USA,1024,X
323,324,Berlin Alexanderplatz [TV],"Fassbinder, Rainer Werner",1980,West Germany,931,X
907,892,Heimat [TV],"Reitz, Edgar",1984,West Germany,924,
356,350,Out 1,"Rivette, Jacques",1971,France,729,
65,64,Shoah,"Lanzmann, Claude",1985,France,566,X
339,339,Tie Xi Qu: West of the Tracks,Wang Bing,2003,China,551,X
169,168,Dekalog,"Kieslowski, Krzysztof",1989,Poland,550,X
850,840,Hitler: A Film from Germany,"Syberberg, Hans-Jürgen",1977,West Germany,442,
102,100,Sátántangó,"Tarr, Béla",1994,Hungary,439,X
527,506,"Vampires, Les","Feuillade, Louis",1915,France,421,X
840,836,"Commune (Paris, 1871), La","Watkins, Peter",2000,France,345,
951,,Diary,"Perlov, David",1983,Israel,330,
567,608,As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty,"Mekas, Jonas",2000,USA,288,
885,881,Mysteries of Lisbon,"Ruiz, Raúl",2010,Portugal,272,
649,638,"Dr. Mabuse, the Gambler","Lang, Fritz",1922,Germany,270,X
138,134,Histoire(s) du cinéma,"Godard, Jean-Luc",1998,France,267,
906,,Hôtel Terminus,"Ophüls, Marcel",1988,USA,267,
963,948,Doomed Love [TV],"Oliveira, Manoel de",1978,Portugal,262,
392,387,"Hour of the Furnaces, The","Getino, Octavio & Fernando E. Solanas",1968,Argentina,260,
688,674,"Sorrow and the Pity, The","Ophüls, Marcel",1969,France,260,X
883,880,"Amour fou, L'","Rivette, Jacques",1969,France,252,
402,415,1900,"Bertolucci, Bernardo",1976,Italy,245,
766,752,"Belle Noiseuse, La","Rivette, Jacques",1991,France,240,
116,115,"Brighter Summer Day, A","Yang, Edward",1991,Taiwan,237,X
188,193,Napoléon,"Gance, Abel",1927,France,235,X
230,231,"Travelling Players, The","Angelopoulos, Theo",1975,Greece,230,
113,116,Once Upon a Time in America,"Leone, Sergio",1984,Italy,229,X
140,143,Gone with the Wind,"Fleming, Victor",1939,USA,222,X
365,362,Heaven's Gate,"Cimino, Michael",1980,USA,219,X
49,49,Lawrence of Arabia,"Lean, David",1962,UK,216,X
725,728,Ben-Hur,"Wyler, William",1959,USA,212,X
101,105,"Mother and the Whore, The","Eustache, Jean",1973,France,210,
422,419,Chelsea Girls,"Warhol, Andy",1966,USA,210,
624,614,Edvard Munch [TV],"Watkins, Peter",1974,Sweden,210,
12,12,"Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles","Akerman, Chantal",1975,Belgium,201,X
724,772,Malcolm X,"Lee, Spike",1992,USA,201,
949,971,"Lord of the Rings: The Return of the King, The","Jackson, Peter",2003,New Zealand,201,X
968,955,Olympia,"Riefenstahl, Leni",1938,Germany,201,X
10,10,Seven Samurai,"Kurosawa, Akira",1954,Japan,200,X
33,31,"Godfather Part II, The","Coppola, Francis Ford",1974,USA,200,X
931,925,Reds,"Beatty, Warren",1981,USA,200,
545,561,Doctor Zhivago,"Lean, David",1965,USA,197,X
955,981,Spartacus,"Kubrick, Stanley",1960,USA,197,X
76,75,"Enfants du paradis, Les","Carné, Marcel",1945,France,195,X
251,268,Schindler's List,"Spielberg, Steven",1993,USA,195,X
642,648,Titanic,"Cameron, James",1997,USA,194,X
855,842,"Right Stuff, The","Kaufman, Philip",1983,USA,193,X
143,142,Céline and Julie Go Boating,"Rivette, Jacques",1974,France,192,X
64,62,Fanny and Alexander,"Bergman, Ingmar",1982,Sweden,189,X
513,520,Short Cuts,"Altman, Robert",1993,USA,189,
782,807,JFK,"Stone, Oliver",1991,USA,189,X
218,223,Magnolia,"Anderson, Paul Thomas",1999,USA,188,X
