Pos,2019,2018,Title,Director,Year,Country,Mins,Col,Genre,Seen
1,1,1,In the Mood for Love,Wong Kar-wai,2000,Hong Kong-France,97,Col,Romance-Drama,X
2,2,2,Mulholland Dr.,"Lynch, David",2001,France-USA,147,Col,Mystery-Drama-Thriller,X
3,3,3,Yi yi,"Yang, Edward",2000,Taiwan-Japan,173,Col,Drama,X
4,4,4,There Will Be Blood,"Anderson, Paul Thomas",2007,USA,158,Col,Drama,X
5,6,7,"Tree of Life, The","Malick, Terrence",2011,USA,139,Col,Drama,X
6,7,8,Spirited Away,"Miyazaki, Hayao",2001,Japan,124,Col,Animated-Adventure-Fantasy,
7,5,5,Eternal Sunshine of the Spotless Mind,"Gondry, Michel",2004,USA,108,Col,Romance-Drama-Comedy,X
8,8,6,Caché,"Haneke, Michael",2005,France-Austria-Germany-Italy-USA,117,Col,Thriller-Drama,X
9,9,9,Tropical Malady,"Weerasethakul, Apichatpong",2004,Thailand-France-Germany-Italy,118,Col,Drama-Fantasy-Romance,
10,23,23,Uncle Boonmee Who Can Recall His Past Lives,"Weerasethakul, Apichatpong",2010,Thailand-UK-France-Germany-Spain-Netherlands,113,Col,Drama-Fantasy,
11,17,22,"Separation, A","Farhadi, Asghar",2011,Iran,123,Col,Drama,X
12,11,13,Lost in Translation,"Coppola, Sofia",2003,USA-Japan,102,Col,Romance-Drama-Comedy,X
13,59,62,Holy Motors,"Carax, Leos",2012,France-Germany,115,Col,Drama-Fantasy,
14,24,24,"Turin Horse, The","Tarr, Béla",2011,Hungary-France-Germany-Switzerland-USA,146,BW,Drama,
15,10,12,City of God,"Meirelles, Fernando & Kátia Lund",2002,Brazil-Germany-France,129,Col,Drama-Crime-Action,X
16,49,75,Mad Max: Fury Road,"Miller, George",2015,Australia-USA,120,Col,Action-Adventure-Science Fiction,X
17,12,10,Brokeback Mountain,"Lee, Ang",2005,USA-Canada,134,Col,Romance-Drama,X
