Pos	2019	2018	Title	Director	Year	Country	Length	Genre	Colour	Seen
520	504	0	Twin Peaks: The Return [TV]	Lynch, David	2017	USA	1024	null	null	true
323	324	0	Berlin Alexanderplatz [TV]	Fassbinder, Rainer Werner	1980	West Germany	931	null	null	true
907	892	0	Heimat [TV]	Reitz, Edgar	1984	West Germany	924	null	null	false
356	350	0	Out 1	Rivette, Jacques	1971	France	729	null	null	false
65	64	0	Shoah	Lanzmann, Claude	1985	France	566	null	null	true
339	339	0	Tie Xi Qu: West of the Tracks	Wang Bing	2003	China	551	null	null	true
169	168	0	Dekalog	Kieslowski, Krzysztof	1989	Poland	550	null	null	true
850	840	0	Hitler: A Film from Germany	Syberberg, Hans-Jürgen	1977	West Germany	442	null	null	false
102	100	0	Sátántangó	Tarr, Béla	1994	Hungary	439	null	null	true
527	506	0	Vampires, Les	Feuillade, Louis	1915	France	421	null	null	true
840	836	0	Commune (Paris, 1871), La	Watkins, Peter	2000	France	345	null	null	false
951	0	0	Diary	Perlov, David	1983	Israel	330	null	null	false
567	608	0	As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty	Mekas, Jonas	2000	USA	288	null	null	false
885	881	0	Mysteries of Lisbon	Ruiz, Raúl	2010	Portugal	272	null	null	false
649	638	0	Dr. Mabuse, the Gambler	Lang, Fritz	1922	Germany	270	null	null	true
138	134	0	Histoire(s) du cinéma	Godard, Jean-Luc	1998	France	267	null	null	false
906	0	0	Hôtel Terminus	Ophüls, Marcel	1988	USA	267	null	null	false
963	948	0	Doomed Love [TV]	Oliveira, Manoel de	1978	Portugal	262	null	null	false
392	387	0	Hour of the Furnaces, The	Getino, Octavio & Fernando E. Solanas	1968	Argentina	260	null	null	false
688	674	0	Sorrow and the Pity, The	Ophüls, Marcel	1969	France	260	null	null	true
883	880	0	Amour fou, L'	Rivette, Jacques	1969	France	252	null	null	false
402	415	0	1900	Bertolucci, Bernardo	1976	Italy	245	null	null	false
766	752	0	Belle Noiseuse, La	Rivette, Jacques	1991	France	240	null	null	false
116	115	0	Brighter Summer Day, A	Yang, Edward	1991	Taiwan	237	null	null	true
188	193	0	Napoléon	Gance, Abel	1927	France	235	null	null	true
230	231	0	Travelling Players, The	Angelopoulos, Theo	1975	Greece	230	null	null	false
113	116	0	Once Upon a Time in America	Leone, Sergio	1984	Italy	229	null	null	true
140	143	0	Gone with the Wind	Fleming, Victor	1939	USA	222	null	null	true
365	362	0	Heaven's Gate	Cimino, Michael	1980	USA	219	null	null	true
49	49	0	Lawrence of Arabia	Lean, David	1962	UK	216	null	null	true
725	728	0	Ben-Hur	Wyler, William	1959	USA	212	null	null	true
101	105	0	Mother and the Whore, The	Eustache, Jean	1973	France	210	null	null	false
422	419	0	Chelsea Girls	Warhol, Andy	1966	USA	210	null	null	false
624	614	0	Edvard Munch [TV]	Watkins, Peter	1974	Sweden	210	null	null	false
12	12	0	Jeanne Dielman, 23 Quai du Commerce, 1080 Bruxelles	Akerman, Chantal	1975	Belgium	201	null	null	true
724	772	0	Malcolm X	Lee, Spike	1992	USA	201	null	null	false
949	971	0	Lord of the Rings: The Return of the King, The	Jackson, Peter	2003	New Zealand	201	null	null	true
968	955	0	Olympia	Riefenstahl, Leni	1938	Germany	201	null	null	true
10	10	0	Seven Samurai	Kurosawa, Akira	1954	Japan	200	null	null	true
33	31	0	Godfather Part II, The	Coppola, Francis Ford	1974	USA	200	null	null	true
931	925	0	Reds	Beatty, Warren	1981	USA	200	null	null	false
545	561	0	Doctor Zhivago	Lean, David	1965	USA	197	null	null	true
955	981	0	Spartacus	Kubrick, Stanley	1960	USA	197	null	null	true
76	75	0	Enfants du paradis, Les	Carné, Marcel	1945	France	195	null	null	true
251	268	0	Schindler's List	Spielberg, Steven	1993	USA	195	null	null	true
642	648	0	Titanic	Cameron, James	1997	USA	194	null	null	true
855	842	0	Right Stuff, The	Kaufman, Philip	1983	USA	193	null	null	true
143	142	0	Céline and Julie Go Boating	Rivette, Jacques	1974	France	192	null	null	true
64	62	0	Fanny and Alexander	Bergman, Ingmar	1982	Sweden	189	null	null	true
513	520	0	Short Cuts	Altman, Robert	1993	USA	189	null	null	false
782	807	0	JFK	Stone, Oliver	1991	USA	189	null	null	true
218	223	0	Magnolia	Anderson, Paul Thomas	1999	USA	188	null	null	true
409	405	0	Birth of a Nation, The	Griffith, D.W.	1915	USA	187	null	null	true
813	812	0	Abraham's Valley	Oliveira, Manoel de	1993	Portugal	187	null	null	false
75	76	0	Leopard, The	Visconti, Luchino	1963	Italy	186	null	null	true
28	27	0	Andrei Rublev	Tarkovsky, Andrei	1966	USSR	185	null	null	true
360	355	0	Tree of Wooden Clogs, The	Olmi, Ermanno	1978	Italy	185	null	null	false
739	813	0	Red Beard	Kurosawa, Akira	1965	Japan	185	null	null	true
44	43	0	Barry Lyndon	Kubrick, Stanley	1975	UK	183	null	null	true
168	167	0	Deer Hunter, The	Cimino, Michael	1978	USA	183	null	null	true
992	996	0	Kwaidan	Kobayashi, Masaki	1964	Japan	183	null	null	true
439	456	0	Casino	Scorsese, Martin	1995	USA	182	null	null	true
192	194	0	Rocco and His Brothers	Visconti, Luchino	1960	Italy	180	null	null	true
343	340	0	Touch of Zen, A	Hu, King	1971	Taiwan	180	null	null	true
455	445	0	Région centrale, La	Snow, Michael	1971	Canada	180	null	null	false
514	510	0	Inland Empire	Lynch, David	2006	USA	180	null	null	true
857	866	0	Blue is the Warmest Colour	Kechiche, Abdellatif	2013	France	179	null	null	false
125	123	0	Intolerance	Griffith, D.W.	1916	USA	178	null	null	true
596	594	0	Lord of the Rings: The Fellowship of the Ring, The	Jackson, Peter	2001	New Zealand	178	null	null	true
825	819	0	O Lucky Man!	Anderson, Lindsay	1973	UK	178	null	null	false
394	403	0	Dogville	von Trier, Lars	2003	Denmark	177	null	null	true
755	771	0	Diaries, Notes and Sketches	Mekas, Jonas	1969	USA	177	null	null	false
6	6	0	Godfather, The	Coppola, Francis Ford	1972	USA	175	null	null	true
34	34	0	Dolce vita, La	Fellini, Federico	1960	Italy	175	null	null	true
320	316	0	Kings of the Road	Wenders, Wim	1976	West Germany	175	null	null	true
268	264	0	Heat	Mann, Michael	1995	USA	174	null	null	true
558	551	0	Sound of Music, The	Wise, Robert	1965	USA	174	null	null	true
118	118	0	Yi Yi	Yang, Edward	2000	Taiwan	173	null	null	true
239	246	0	Best Years of Our Lives, The	Wyler, William	1946	USA	172	null	null	true
841	879	0	Great Escape, The	Sturges, John	1963	USA	172	null	null	true
252	248	0	Thin Red Line, The	Malick, Terrence	1998	USA	170	null	null	true
471	454	0	In Vanda's Room	Costa, Pedro	2000	Portugal	170	null	null	false
654	639	0	Hoop Dreams	James, Steve	1994	USA	170	null	null	true
805	843	0	Scarface	De Palma, Brian	1983	USA	170	null	null	true
868	889	0	Saving Private Ryan	Spielberg, Steven	1998	USA	169	null	null	true
420	431	0	Scenes from a Marriage	Bergman, Ingmar	1973	Sweden	168	null	null	true
336	332	0	Underground	Kusturica, Emir	1995	Yugoslavia	167	null	null	false
915	911	0	Welfare	Wiseman, Frederick	1975	USA	167	null	null	false
67	69	0	Once Upon a Time in the West	Leone, Sergio	1968	Italy	165	null	null	true
214	215	0	Solaris	Tarkovsky, Andrei	1972	USSR	165	null	null	true
533	544	0	Boyhood	Linklater, Richard	2014	USA	165	null	null	true
922	921	0	Last Temptation of Christ, The	Scorsese, Martin	1988	USA	164	null	null	true
212	209	0	Life and Death of Colonel Blimp, The	Powell, Michael & Emeric Pressburger	1943	UK	163	null	null	true
952	944	0	Last Emperor, The	Bertolucci, Bernardo	1987	China	163	null	null	true
450	487	0	Toni Erdmann	Ade, Maren	2016	Germany	162	null	null	false
507	502	0	Marketa Lazarová	Vlácil, Frantisek	1967	Czechoslovakia	162	null	null	true
996	987	0	Sholay	Sippy, Ramesh	1975	India	162	null	null	false
154	156	0	Good, the Bad and the Ugly, The	Leone, Sergio	1966	Italy	161	null	null	true
178	184	0	Ran	Kurosawa, Akira	1985	France	161	null	null	true
499	498	0	Bridge on the River Kwai, The	Lean, David	1957	UK	161	null	null	true
852	845	0	Once Upon a Time... in Hollywood	Tarantino, Quentin	2019	USA	161	null	null	true
962	980	0	Avatar	Cameron, James	2009	USA	161	null	null	true
999	994	0	Godfather Part III, The	Coppola, Francis Ford	1990	USA	161	null	null	true
48	47	0	Stalker	Tarkovsky, Andrei	1979	USSR	160	null	null	true
92	90	0	Nashville	Altman, Robert	1975	USA	160	null	null	false
444	462	0	Terra trema, La	Visconti, Luchino	1948	Italy	160	null	null	false
919	922	0	Anatomy of a Murder	Preminger, Otto	1959	USA	160	null	null	false
264	271	0	Eyes Wide Shut	Kubrick, Stanley	1999	USA	159	null	null	true
565	570	0	Kagemusha	Kurosawa, Akira	1980	Japan	159	null	null	true
153	161	0	There Will Be Blood	Anderson, Paul Thomas	2007	USA	158	null	null	true
332	337	0	Amadeus	Forman, Milos	1984	USA	158	null	null	true
429	433	0	Angel at My Table, An	Campion, Jane	1990	New Zealand	158	null	null	true
606	625	0	Zodiac	Fincher, David	2007	USA	158	null	null	true
770	760	0	Age of the Earth, The	Rocha, Glauber	1980	Brazil	158	null	null	false
810	818	0	Van Gogh	Pialat, Maurice	1991	France	158	null	null	false
202	197	0	City of Sadness, A	Hou Hsiao-hsien	1989	Taiwan	157	null	null	false
375	369	0	Fitzcarraldo	Herzog, Werner	1982	West Germany	157	null	null	true
492	481	0	Once Upon a Time in Anatolia	Ceylan, Nuri Bilge	2011	Turkey	157	null	null	false
609	602	0	Hatari!	Hawks, Howard	1962	USA	157	null	null	true
217	219	0	Breaking the Waves	von Trier, Lars	1996	Denmark	156	null	null	true
73	74	0	Woman Under the Influence, A	Cassavetes, John	1974	USA	155	null	null	true
256	261	0	Cinema Paradiso	Tornatore, Giuseppe	1988	Italy	155	null	null	true
383	391	0	Turin Horse, The	Tarr, Béla	2011	Hungary	155	null	null	false
521	511	0	Boogie Nights	Anderson, Paul Thomas	1997	USA	155	null	null	true
528	515	0	Damned, The	Visconti, Luchino	1969	Italy	155	null	null	false
607	593	0	Colossal Youth	Costa, Pedro	2006	France	155	null	null	true
668	692	0	Prophet, A	Audiard, Jacques	2009	France	155	null	null	false
680	676	0	Farewell, My Concubine	Chen Kaige	1993	China	155	null	null	false
745	731	0	New York, New York	Scorsese, Martin	1977	USA	155	null	null	true
78	79	0	Pulp Fiction	Tarantino, Quentin	1994	USA	154	null	null	true
437	426	0	Star is Born, A	Cukor, George	1954	USA	154	null	null	true
485	472	0	Platform	Jia Zhangke	2000	China	154	null	null	false
72	72	0	Metropolis	Lang, Fritz	1927	Germany	153	null	null	true
483	496	0	Death of Mr. Lazarescu, The	Puiu, Cristi	2005	Romania	153	null	null	false
830	862	0	Amores perros	González Iñárritu, Alejandro	2000	Mexico	153	null	null	false
845	852	0	Inglourious Basterds	Tarantino, Quentin	2009	USA	153	null	null	true
851	863	0	Asthenic Syndrome, The	Muratova, Kira	1989	USSR	153	null	null	false
643	652	0	Dark Knight, The	Nolan, Christopher	2008	USA	152	null	null	true
765	770	0	Lolita	Kubrick, Stanley	1962	UK	152	null	null	true
348	352	0	West Side Story	Wise, Robert & Jerome Robbins	1961	USA	151	null	null	true
13	13	0	Apocalypse Now	Coppola, Francis Ford	1979	USA	150	null	null	true
196	201	0	Paris, Texas	Wenders, Wim	1984	West Germany	150	null	null	true
629	618	0	Red Circle, The	Melville, Jean-Pierre	1970	France	150	null	null	true
807	837	0	Margaret	Lonergan, Kenneth	2011	USA	150	null	null	false
280	278	0	Story of the Last Chrysanthemums, The	Mizoguchi, Kenji	1939	Japan	148	null	null	true
722	711	0	Kaagaz Ke Phool	Dutt, Guru	1959	India	148	null	null	false
898	888	0	Juliet of the Spirits	Fellini, Federico	1965	Italy	148	null	null	false
982	0	0	Pianist, The	Polanski, Roman	2002	France	148	null	null	false
30	30	0	Mulholland Dr.	Lynch, David	2001	France	147	null	null	true
401	395	0	Woman in the Dunes	Teshigahara, Hiroshi	1964	Japan	147	null	null	true
950	941	0	Khrustalyov, My Car!	German, Aleksei	1998	Russia	147	null	null	false
60	63	0	GoodFellas	Scorsese, Martin	1990	USA	146	null	null	true
226	224	0	Life of Oharu, The	Mizoguchi, Kenji	1952	Japan	146	null	null	true
335	328	0	Pyaasa	Dutt, Guru	1957	India	146	null	null	false
37	37	0	Avventura, L'	Antonioni, Michelangelo	1960	Italy	145	null	null	true
291	300	0	Sacrifice, The	Tarkovsky, Andrei	1986	France	145	null	null	false
314	310	0	Werckmeister Harmonies	Tarr, Béla	2000	Hungary	145	null	null	false
446	447	0	Limelight	Chaplin, Charles	1952	USA	145	null	null	true
